"character" "dialogue"
"893" "COP ONE" "Yah, yah, call an ambulance."
"894" "MARGE" "Oooph!"
"895" "NORM" "They announced it."
"896" "MARGE" "They announced it?"
"897" "NORM" "Yah."
"898" "MARGE" "...  So?"
"899" "NORM" "Three-cent stamp."
"900" "MARGE" "Your mallard?"
"901" "NORM" "Yah."
"902" "MARGE" "Norm, that's terrific!"
"903" "NORM" "It's just the three cent."
"904" "MARGE" "It's terrific!"
"905" "NORM" "Hautman's blue-winged teal got the twenty-nine cent.  People don't much use the three-cent."
"906" "MARGE" "Oh, for Pete's - a course they do! Every time they raise the darned postage, people need the little stamps!"
"907" "NORM" "Yah."
"908" "MARGE" "When they're stuck with a bunch a the old ones!"
"909" "NORM" "Yah, I guess."
"910" "MARGE" "That's terrific."
"911" "MARGE" "...  I'm so proud a you, Norm."
"912" "NORM" "I love you, Margie."
"913" "MARGE" "I love you, Norm."
"914" "NORM" "...  Two more months."
"915" "MARGE" "Two more months."
